Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Javadpour L.","53868115500;","Using RapidMiner for executing queries and visualization in a traditional database course",2022,"Journal of Education for Business","97","4",,"247","252",,,"10.1080/08832323.2021.1924106","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105986344&doi=10.1080%2f08832323.2021.1924106&partnerID=40&md5=90c4baa62f57a1f4b12134adeea05062","University of the Pacific, Stockton, CA, United States","Javadpour, L., University of the Pacific, Stockton, CA, United States","In this article we discuss the use of RapidMiner, a data science software platform, in a Database Management Systems course. For further understanding of the database and the skill learned, students are given an assignment to complete, to not only use another software beside SQL Server Management Studio but also translate their findings in a more visualized format. In this assignment students will use RapidMiner to execute queries and then perform visualization in order to answer business questions. Survey shows that after completing the assignment, students felt more confident when faced with data analytics problems. In conclusion and analysis of the project, the use of RapidMiner technique, proves significant. © 2021 Taylor & Francis Group, LLC.","Database management systems; RapidMiner; SQL; Teaching Tip",,Article,"Final","",Scopus,2-s2.0-85105986344
"Shikata N., Imahashi H., Gemba K.","57217617823;57191334893;15026296700;","An analysis of diversification dynamics of r&d activities and external collaboration in major manufacturing industries in Japan",2021,"Forum Scientiae Oeconomia","9","4",,"79","97",,1,"10.23762/FSO_VOL9_NO4_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121984592&doi=10.23762%2fFSO_VOL9_NO4_4&partnerID=40&md5=e7602ce030fbfd30024f8a35c0ff5ee1","International Professional University of Technology in Osaka, Japan; Matsuyama Shinonome Junior College, Japan; Hosei University, Japan","Shikata, N., International Professional University of Technology in Osaka, Japan; Imahashi, H., Matsuyama Shinonome Junior College, Japan; Gemba, K., Hosei University, Japan","Numerous studies have been conducted on diversification, but few have analysed diversification dynamics in the manufacturing industry. Open innovation has recently drawn attention, yet few empirical studies have demonstrated the trend in R&D collaboration among business enterprises. This study quantita-tively analysed a substantial amount of statistical data regarding the R&D expenses of Japanese manufacturing industries to crosslink the study fields of diversification and R&D collaboration so as to fill the research gap in the preceding studies. The findings of the analysis were as follows: (1) the automobile and accessories manufacturing and pharmaceutical manufacturing industries have focused on their core business and actively collaborated with external parties to acquire fundamental technologies from outside; (2) the other seven major manufacturing industries exhibit high levels of R&D diversification but rel-atively low rates of external expenditure; (3) the science-based automobile and accessories manufacturing industry and pharmaceutical manufacturing industry have built up a long-term collaborative relationship with partner organisations through academic–industrial collaboration or the effective utilisation of R&D investment to encourage partner companies to acquire new technology from outside. This study successfully visual-ised the relationship between the 21 years of R&D diversification and R&D collaboration in nine major manufacturing industries in Japan. It thereby contributed to the academic study of diversification by providing a better overall understanding of the R&D diversification of major manufacturing industries in Japan seeking to enter new fields. © 2021, WSB University. All rights reserved.","Diversification dynamics; Manufacturing industries; Open innova-tion; R&D collaboration",,Article,"Final","",Scopus,2-s2.0-85121984592
"Elizabeth C., Marie B.-M.B.","57219156961;57577517300;","Analysing Competitive Advantage of Retail Industry in South Africa",2021,"African Journal of Business and Economic Research","16","4",,"181","201",,,"10.31920/1750-4562/2021/v16n4a9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128274397&doi=10.31920%2f1750-4562%2f2021%2fv16n4a9&partnerID=40&md5=ea23a7bbdf92651616f459e3e54219ff","Department of Logistics and Supply Chain Management, Faculty of Management Sciences, Vaal University of Technology, P. Bag X021, Vanderbijlpark, 1900, South Africa; Vaal University of Technology, South Africa","Elizabeth, C., Department of Logistics and Supply Chain Management, Faculty of Management Sciences, Vaal University of Technology, P. Bag X021, Vanderbijlpark, 1900, South Africa; Marie, B.-M.B., Vaal University of Technology, South Africa","Strong competitive advantage is a common goal shared among many retailers. Generally, to establish a competitive advantage, many retailers all over the world will focus on the three primary methods of gaining a leg up on their competitors which are cost leadership, differentiation and strategic alliance. However, the environmental issues regarding the pollution, waste, climate change and global warning are changing the competitive landscape of many industries such as the retail industry. Considering the strict environmental regulations and the consumers’ increasing interest in the environmental problems, managers can no longer ignore the need to implement and develop innovative strategies that incorporate environmental aspects. The aim of the study was to the investigate the impact of environmental protective strategies such as environmental performance, green image and customer requirements on the competitive advantage of retailers in Southern Gauteng. The study adopted a quantitative approach to survey a sample of 200 managers and general employees from the retailer’s businesses in Southern Gauteng, province of South Africa. A convenience sampling technique was applied to collect data from the respondents. Data were analysed using the Statistical Package for the Social Sciences (26.0). Moreover, confirmatory factors analysis was applied to examine and test the relationship between observed constructs and their casual latent construct. Smart PLS 3.0 was also used to test the hypothesised relationships between the constructs. The current study revealed that green image, environmental performance and customer requirements are determinants of competitive advantage. The results also showed that there is a negative relationship between green image and environment performance. The results of the study also revealed that, through green image, customer requirements and environmental performance sustainable competitive advantage can be achieved. © 2021 Adonis and Abbey Publishers Ltd. All rights reserved.","Competitive advantage; Customer requirements; Environmental performance; Green image; Sustainability development",,Article,"Final","",Scopus,2-s2.0-85128274397
"Msomi T.S., Olarewaju O.M., Ngcobo X.","57222573391;57200985020;57506766200;","Sustaining South African small and medium-sized enterprises through monetary access and Literacy in the COVID-19 ERA",2021,"Folia Oeconomica Stetinensia","21","2",,"57","75",,2,"10.2478/foli-2021-0016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126608975&doi=10.2478%2ffoli-2021-0016&partnerID=40&md5=a30142f35b185cc9b97cc6234b7baf75","Department of Management Accounting, Faculty of Accounting and Informatics, Durban University of Technology, South Africa","Msomi, T.S., Department of Management Accounting, Faculty of Accounting and Informatics, Durban University of Technology, South Africa; Olarewaju, O.M., Department of Management Accounting, Faculty of Accounting and Informatics, Durban University of Technology, South Africa; Ngcobo, X., Department of Management Accounting, Faculty of Accounting and Informatics, Durban University of Technology, South Africa","Research background: Monetary access and literacy are significant factors of concern confronting the survival and sustainability of small and medium-sized enterprises. Purpose: This led to this paper seeking to understand the impact monetary access and monetary literacy have on the sustainability of SMEs in the COVID-19 era. Research methodology: The method was employed by this study is a quantitative research method, which is supported by a positivism research paradigm. Data was collected using a questionnaire completed by 310 sampled participants. Using the Statistical Package for Social Sciences to analyse data, descriptive, the Pearson correlation and regression analyses were used to estimate the model. Results: The Pearson correlation indicated a positive and significant correlation between monetary access and monetary literacy to the sustainability of small and medium-sized enterprises (r = 0.564). The result indicated that some small and medium-sized enterprises do possess basic monetary skills while some do not. A significant number of small and medium-sized enterprises do not understand basic monetary terms, which justifies the lack of monetary literacy. Novelty: The study recommends that government agencies that assist with business registration should include a monetary training course as part of registration formalities. Further to that, the study recommended that government, banks and other business support institutions should simplify support programmes for the prosperity of small and medium-sized enterprises during and post COVID-19 pandemic. © 2021 Thabiso Sthembiso Msomi et al., published by Sciendo.","Monetary Access; monetary Literary; small and medium-sized enterprises; sustainability",,Article,"Final","",Scopus,2-s2.0-85126608975
"Alan H., Köker A.R.","57439607400;57439257300;","Structural Social Capital Studies in Management and Organization Literature: A Bibliometric Network Study",2021,"Central European Management Journal","29","4",,"2","31",,1,"10.7206/cemj.2658-0845.58","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123992719&doi=10.7206%2fcemj.2658-0845.58&partnerID=40&md5=295dd2d477ca333e95e6a47ae41fa175","Akdeniz University, Management Information Systems, Manavgat, Antalya, 07600, Turkey; Turkish Patent and Trademark Office, Ankara, Turkey","Alan, H., Akdeniz University, Management Information Systems, Manavgat, Antalya, 07600, Turkey; Köker, A.R., Turkish Patent and Trademark Office, Ankara, Turkey","Purpose: Many empirical and review studies have been performed in the management and organization literature from the structural social capital perspective. Since these studies focus on different topics periodically, we aimed to make a bibliometric analysis of the structural social capital literature that allows a regular, systematic, and quantitative evaluation of published articles in management and organization science to identify the underlying structure in this research area and to identify the main research themes of the scholarship. Methodology: The bibliographic matching technique was used for checking international databases to explore the main concepts and themes of the management and organization literature and to identify main themes in the research area. Therefore, this article offers a bibliometric analysis of the literature that allows for a regular, systematic, and quantitative evaluation of published articles to identify their underlying structure and to identify the main research themes in the scholarship. Research data were analyzed using the text mining method, which is a sub-branch of the data mining method and one of the most critical ways to analyze and process unstructured data. Findings: Structural social capital studies were examined in management and organization science databases in three periods forming four years. Although there are no completely different emerging themes, we noticed periodic differences and change in priority rankings. Moreover, we found that the subjects repeat every period with few new concepts. Implications: This research shows the main themes in the management and organization literature, where structural social capital elements are examined together, and covers all areas of management, organization and business science. Considering the main topics of the three periods of this research, there are similarities, namely the words that rank among the top in each period are ""innovation,""""entrepreneurship,""""knowledge management,""""performance,""""leadership,""""technology,""and ""human resources""and these themes are the most prominent. Originality/Value: This research presents an overview of all past studies that focus on the structural social capital present in social interactions. Since structural social capital influences management and organization literature, it is considered a valuable study and a guide for future research. © 2021 Hale Alan et al., published by Sciendo.","bibliometric; bibliometricstructural social capital; management; organization; structural social capital",,Review,"Final","",Scopus,2-s2.0-85123992719
"Bidin R., Razak M.N.F., Mohamad B., Osman M.N., Bakar M.S.A., Tham J.S., Atan R., Handayati P., Utaberta N.","56096947600;57388480500;25960913300;57216203721;57200334876;56257554700;25824744000;57194285720;36769577900;","Halal Industry's Organizational Performance Factors: A Systematic Literature Review",2021,"Pertanika Journal of Social Sciences and Humanities","29","4",,"2545","2568",,,"10.47836/pjssh.29.4.25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121905206&doi=10.47836%2fpjssh.29.4.25&partnerID=40&md5=3bea8b42df0471781a04b71c34b0a46a","Department of Communication, Faculty of Modern Languages and Communication, Universiti Putra Malaysia, Selangor Darul Ehsan, Serdang, 43400, Malaysia; Othman Yeop Abdullah Graduate School of Business, Universiti Utara Malaysia, Kampus Kuala Lumpur, Kampung Baru, Kuala Lumpur, 50300, Malaysia; Faculty of Film, Theatre and Animation (FiTA), Universiti Teknologi MARA (UiTM), Selangor Darul Ehsan, Shah Alam, 40150, Malaysia; Halal Products Research Institute, Putra Infoport, Universiti Putra Malaysia, Selangor Darul Ehsan, Serdang, 43400, Malaysia; Accounting Department, Faculty of Economics, Universitas Negeri Malang, Malang, 65145, Indonesia; Architecture Department, Faculty of Civil Engineering and Built Environment, Universiti Tun Hussein Onn Malaysia, Batu Pahat, Johor, Parit Raja, 86400, Malaysia","Bidin, R., Department of Communication, Faculty of Modern Languages and Communication, Universiti Putra Malaysia, Selangor Darul Ehsan, Serdang, 43400, Malaysia; Razak, M.N.F., Department of Communication, Faculty of Modern Languages and Communication, Universiti Putra Malaysia, Selangor Darul Ehsan, Serdang, 43400, Malaysia; Mohamad, B., Othman Yeop Abdullah Graduate School of Business, Universiti Utara Malaysia, Kampus Kuala Lumpur, Kampung Baru, Kuala Lumpur, 50300, Malaysia; Osman, M.N., Department of Communication, Faculty of Modern Languages and Communication, Universiti Putra Malaysia, Selangor Darul Ehsan, Serdang, 43400, Malaysia; Bakar, M.S.A., Faculty of Film, Theatre and Animation (FiTA), Universiti Teknologi MARA (UiTM), Selangor Darul Ehsan, Shah Alam, 40150, Malaysia; Tham, J.S., Department of Communication, Faculty of Modern Languages and Communication, Universiti Putra Malaysia, Selangor Darul Ehsan, Serdang, 43400, Malaysia; Atan, R., Halal Products Research Institute, Putra Infoport, Universiti Putra Malaysia, Selangor Darul Ehsan, Serdang, 43400, Malaysia; Handayati, P., Accounting Department, Faculty of Economics, Universitas Negeri Malang, Malang, 65145, Indonesia; Utaberta, N., Architecture Department, Faculty of Civil Engineering and Built Environment, Universiti Tun Hussein Onn Malaysia, Batu Pahat, Johor, Parit Raja, 86400, Malaysia","The global Halal industry is one of the world's fastest-growing consumer segments, as evidenced by substantial research and published papers. This paper aims to identify and characterize the factors that influence organizational performance in companies within the Halal industry. It also offers an overview of the factors influencing companies' organizational performance in various Halal industry sectors. A systematic Literature Review (SLR) of the Web of Science, Scopus, Emerald, and Science Direct databases guided by PRISMA (Preferred Reporting Items for Systematic Review and Meta-Analyses) protocol was used to analyze the data. The electronic database's search results included articles focused on halal certification, halal product development, and supply chain management. A methodical review of these articles found four main factors that influence the organizational performance of halal companies: 1) the strategic management of Halal business, 2) the management of Halal requirements, 3) the understanding of consumer demands, and 4) the creation of the best organizational environment. This review provides detailed guidelines based on important research findings on how Halal organizations can manage and excel in their businesses. As a result, companies can better minimize the effect of volatile, uncertain, complex, and ambiguous (VUCA) environments in managing the business. © Universiti Putra Malaysia Press","Consumers' demand; Halal; Management strategies; Organizational conduct; Systematic literature review; VUCA",,Review,"Final","",Scopus,2-s2.0-85121905206
"Herrera-Franco G., Montalván-Burbano N., Mora-Frank C., Bravo-Montero L.","57212546828;57210814655;57216865424;57222491938;","Scientific research in ecuador: A bibliometric analysis",2021,"Publications","9","4","55","","",,8,"10.3390/publications9040055","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121677322&doi=10.3390%2fpublications9040055&partnerID=40&md5=902d582cd8c5e494a06257fdc9c450bb","Facultad de Ciencias de la Ingeniería, Universidad Estatal Península de Santa Elena (UPSE), Avda. Principal La Libertad-Santa Elena, La Libertad, 240204, Ecuador; Geo-Recursos y Aplicaciones GIGA, ESPOL Polytechnic University, Campus Gustavo Galindo km 30.5 Vía Perimetral, Guayaquil, 09015863, Ecuador; Business and Economy Department, University of Almería, Ctra. Sacramento, S/N, La Cañada de San Urbano, Almería, 04120, Spain; Centro de Investigación y Proyectos Aplicados a las Ciencias de la Tierra (CIPAT), ESPOL Polytechnic University, Campus Gustavo Galindo km 30.5 Vía Perimetral, Guayaquil, 09015863, Ecuador","Herrera-Franco, G., Facultad de Ciencias de la Ingeniería, Universidad Estatal Península de Santa Elena (UPSE), Avda. Principal La Libertad-Santa Elena, La Libertad, 240204, Ecuador, Geo-Recursos y Aplicaciones GIGA, ESPOL Polytechnic University, Campus Gustavo Galindo km 30.5 Vía Perimetral, Guayaquil, 09015863, Ecuador; Montalván-Burbano, N., Business and Economy Department, University of Almería, Ctra. Sacramento, S/N, La Cañada de San Urbano, Almería, 04120, Spain, Centro de Investigación y Proyectos Aplicados a las Ciencias de la Tierra (CIPAT), ESPOL Polytechnic University, Campus Gustavo Galindo km 30.5 Vía Perimetral, Guayaquil, 09015863, Ecuador; Mora-Frank, C., Facultad de Ciencias de la Ingeniería, Universidad Estatal Península de Santa Elena (UPSE), Avda. Principal La Libertad-Santa Elena, La Libertad, 240204, Ecuador, Centro de Investigación y Proyectos Aplicados a las Ciencias de la Tierra (CIPAT), ESPOL Polytechnic University, Campus Gustavo Galindo km 30.5 Vía Perimetral, Guayaquil, 09015863, Ecuador; Bravo-Montero, L., Centro de Investigación y Proyectos Aplicados a las Ciencias de la Tierra (CIPAT), ESPOL Polytechnic University, Campus Gustavo Galindo km 30.5 Vía Perimetral, Guayaquil, 09015863, Ecuador","Ecuador has shown a growth in its scientific production since 2011, representing 85% of the total historical production. These investigations are reflected in scientific publications, which address world interest topics and serve as a link for the university, business, and society. This work aims to analyze the scientific production generated by Ecuador in the period of 1920–2020 using bibliometric methods to evaluate its intellectual structure and performance. The methodology applied in this study includes: (i) terms definition and search criteria; (ii) database selection, initial search, and document compilation; (iii) data extraction and software selection; and finally, (iv) analysis of results. The results show that scientific production has been consolidated in 30,205 documents, developed in 27 subject areas, in 13 languages under the contribution of 84 countries. This intellectual structure is in harmony with the global context when presenting research topics related to “Biology and regional climate change”, “Higher education and its various approaches”, “Technology and Computer Science”, “Medicine”, “Energy, food and water”, and ”Development and applications on the Web”. Topics framed in the Sustainable Development Goals (SDGs), sustainability, climate change, and others. This study contributes to the academic community, considering current re-search issues and global concerns, the collaboration between universities and countries that allow establishing future collaboration links. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Bibliometric analysis; Country scientific output; Ecuador; Intellectual structure; Universities",,Article,"Final","",Scopus,2-s2.0-85121677322
"Al-Anqoudi Y., Al-Hamdani A., Al-Badawi M., Hedjam R.","57345064600;6506878179;27567517800;36015242100;","Using machine learning in business process re-engineering",2021,"Big Data and Cognitive Computing","5","4","61","","",,6,"10.3390/bdcc5040061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119381211&doi=10.3390%2fbdcc5040061&partnerID=40&md5=8b91556b1937b918b895ba8c48cf8573","Department of Computer Science, Sultan Qaboos University, P.O. Box 36, Muscat, 123, Oman","Al-Anqoudi, Y., Department of Computer Science, Sultan Qaboos University, P.O. Box 36, Muscat, 123, Oman; Al-Hamdani, A., Department of Computer Science, Sultan Qaboos University, P.O. Box 36, Muscat, 123, Oman; Al-Badawi, M., Department of Computer Science, Sultan Qaboos University, P.O. Box 36, Muscat, 123, Oman; Hedjam, R., Department of Computer Science, Sultan Qaboos University, P.O. Box 36, Muscat, 123, Oman","A business process re-engineering value in improving the business process is undoubted. Nevertheless, it is incredibly complex, time-consuming and costly. This study aims to review available literature in the use of machine learning for business process re-engineering. The review investigates available literature in business process re-engineering frameworks, methodologies, tools, techniques, and machine-learning applications in automating business process re-engineering. The study covers 200+ research papers published between 2015 and 2020 in reputable scientific publication platforms: Scopus, Emerald, Science Direct, IEEE, and British Library. The results indicate that business process re-engineering is a well-established field with scientifically solid frameworks, methodologies, tools, and techniques, which support decision making by generating and analysing relevant data. The study indicates a wealth of data generated, analysed and utilised throughout business process re-engineering projects, thus making it a potential greenfield for innovative machine-learning applications aiming to reduce implementation costs and manage complexity by exploiting the data’s hiding patterns. This suggests that there were attempts towards applying machine learning in business process management and improvement in general. They address process discovery, process behaviour prediction, process improvement, and process optimisation. The review suggests that expanding the applications to business process re-engineering is promising. The study proposed a machine-learning model for automating business process re-engineering, inspired by the Lean Six Sigma principles of eliminating waste and variance in the business process. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Business process re-engineering; Data mining; Machine learning","Cost engineering; Data mining; Decision making; Enterprise resource management; Optimization; Process engineering; Reengineering; British Library; Business Process; Business process reengineering; Engineering frameworks; Engineering machines; Engineering methodology; Machine learning applications; Machine-learning; Research papers; Scientific publications; Machine learning",Review,"Final","",Scopus,2-s2.0-85119381211
"Salomaa M., Caputo A.","57204114454;55513877500;","Business as usual? Assessing the impact of the COVID-19 pandemic to research, development and innovation (RDI) activities of universities of applied sciences",2021,"Tertiary Education and Management","27","4",,"351","366",,,"10.1007/s11233-021-09079-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118482788&doi=10.1007%2fs11233-021-09079-z&partnerID=40&md5=5693e43eed4a51ff79689a5dcdf2e859","External Funding, Tampere University of Applied Sciences, Kuntokatu 3, Tampere, 33520, Finland; Lincoln International Business School, University of Lincoln, Lincoln, United Kingdom; Department of Economics and Management, University of Trento, Trento, Italy; Department of Management, University of Lincoln, Lincoln, United Kingdom","Salomaa, M., External Funding, Tampere University of Applied Sciences, Kuntokatu 3, Tampere, 33520, Finland, Lincoln International Business School, University of Lincoln, Lincoln, United Kingdom; Caputo, A., Department of Economics and Management, University of Trento, Trento, Italy, Department of Management, University of Lincoln, Lincoln, United Kingdom","Universities of applied sciences (UAS) have a strong mandate to carry out research, development and innovation (RDI) activities in collaboration with local stakeholders. Geographical proximity is one of the key factors for the creation and success of RDI activities because of the positive balance between costs and benefits of local knowledge transfer, but they also depend on the networks of individual staff members. This paper aims to explore how maintaining and developing purpose-built and individual RDI partnerships during the COVID-19 pandemic has been managed. An enhanced conceptual framework for assessing contextual dimensions of the RDI activities beyond academic entrepreneurship as business ventures has been developed. The paper focuses on a single case study drawing on semi-structured research interviews investigating how the swap to remote working have affected RDI activities at Tampere University of Applied Sciences, one of the biggest UAS in Finland with intense regional linkages. The contribution of the study is twofold; firstly, the paper introduces an expanded theoretical approach for assessing the external and internal factors having an impact on the RDI activities beyond academic entrepreneurship. Secondly, by testing the proposed framework, it shares insights and good practices derived from empirical evidence, namely binary data and semi-structured interviews revealing experiences of RDI personnel and project managers involved with different phases of RDI process, for optimising high-quality innovation support, knowledge transfer activities and co-creation of new knowledge in exceptional circumstances. © 2021, The Author(s).","Case studies; COVID-19; Innovation; Knowledge transfer; RDI services; Remote working",,Article,"Final","",Scopus,2-s2.0-85118482788
"Ibrahim A.E.A., Elamer A.A., Ezat A.N.","57203866416;57200727964;57286672600;","The convergence of big data and accounting: innovative research opportunities",2021,"Technological Forecasting and Social Change","173",,"121171","","",,1,"10.1016/j.techfore.2021.121171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116416241&doi=10.1016%2fj.techfore.2021.121171&partnerID=40&md5=250eed37346b1965e2ede60c070f0de8","Faculty of Business and Law, Portsmouth University, United Kingdom; Brunel Business School, Brunel University London, Kingston Lan, Uxbridge, London, UB8 3PH, United Kingdom; Imam Abdulrahman Bin Faisal University, Saudi Arabia; Department of Accounting, Faculty of Commerce, Mansoura University, Mansoura, Egypt","Ibrahim, A.E.A., Faculty of Business and Law, Portsmouth University, United Kingdom; Elamer, A.A., Brunel Business School, Brunel University London, Kingston Lan, Uxbridge, London, UB8 3PH, United Kingdom, Department of Accounting, Faculty of Commerce, Mansoura University, Mansoura, Egypt; Ezat, A.N., Imam Abdulrahman Bin Faisal University, Saudi Arabia","This study aims to develop accounting standards, curriculums, and research to cope with the rapid development of big data. The study presents several potential convergence points between big data and different accounting techniques and theories. The study discusses how big data can overcome the data limitations of six accounting issues: financial reporting, performance measurement, audit evidence, risk management, corporate budgeting and activity-based techniques. It presents six exciting research questions for future research. Then, the study explains the potential convergence between big data and agency theory, stakeholders theory, and legitimacy theory. This theoretical study develops new convergence points between big data and accounting by reviewing the literature and proposing new ideas and research questions. The conclusion indicates a significant convergence between big data and accounting on the premise that data is the heart of accounting. Big data and advanced analytics have the potential to overcome the data limitations of accounting techniques that require estimations and predictions. A remarkable convergence is argued between big data and three accounting theories. Overall, the study presents helpful insights to members of the accounting and auditing community on the potential of big data. © 2021","Accounting; Analytics; Big data; Business intelligence; Data science","Budget control; Data Analytics; Data Science; Risk assessment; Risk management; Accounting; Accounting standards; Analytic; Convergence points; Data limitations; Financial reporting; Innovative research; Research opportunities; Research questions; Standard curriculum; Big data; business; curriculum; data management; research",Article,"Final","",Scopus,2-s2.0-85116416241
"Nasir M., Simsek S., Cornelsen E., Ragothaman S., Dag A.","57203813391;57204002827;57225055002;6602442782;56924945100;","Developing a decision support system to detect material weaknesses in internal control",2021,"Decision Support Systems","151",,"113631","","",,6,"10.1016/j.dss.2021.113631","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109040647&doi=10.1016%2fj.dss.2021.113631&partnerID=40&md5=b543d162d829313de632dc843329a47b","Manning School of Business, University of Massachusetts-Lowell, Lowell, MA  01854, United States; Feliciano School of Business, Montclair State University, Montclair, NJ  07043, United States; Beacom School of Business, University of South Dakota, Vermillion, SD  57069, United States; Heider College of Business, Creighton University, Omaha, NE  68178, United States","Nasir, M., Manning School of Business, University of Massachusetts-Lowell, Lowell, MA  01854, United States; Simsek, S., Feliciano School of Business, Montclair State University, Montclair, NJ  07043, United States; Cornelsen, E., Beacom School of Business, University of South Dakota, Vermillion, SD  57069, United States; Ragothaman, S., Beacom School of Business, University of South Dakota, Vermillion, SD  57069, United States; Dag, A., Heider College of Business, Creighton University, Omaha, NE  68178, United States","Wells Fargo employees set up 3.5 million fraudulent accounts over several years. Wells Fargo ended up paying $4.5 billion in fines. The Wells Fargo scandal highlights the importance of management actions to prevent misstatements and potential frauds on a timely basis. This study utilized the design science research paradigm to develop a predictive framework (IT artifact) in order to stratify firms into multiple risk groups for disclosing material weakness(es) in internal control (MWIC). The proposed methodology employed a hybrid heuristic optimization-based machine learning methodology. Synthetic minority over-sampling technique (SMOTE) was utilized to handle the learning problem with the imbalanced data. The best performing model was the proposed hybrid Genetic Algorithms (GA) and Support Vector Machines (SVM). The proposed methodology was internally validated via k-fold cross validation, and then externally validated using several separate datasets. The (GA) selected variables were ranked from the most important to the least through Information fusion (IF) sensitivity. A web-based decision support system was built to predict the firm-specific MWIC risk category. The web-based tool can be used to create an early warning system for predicting MWIC(s). © 2021","Business analytics; Data mining; Decision support systems; Material weakness in internal control","Finance; Genetic algorithms; Heuristic methods; Support vector machines; Websites; Design-science researches; Early Warning System; Fraudulent accounts; Hybrid genetic algorithms; Internal controls; K fold cross validations; Synthetic minority over-sampling techniques; Web-based decision support systems; Decision support systems",Article,"Final","",Scopus,2-s2.0-85109040647
"Kummara M.S.R., Guntreddy B.R., Vega I.G., Tai Y.H.","57224969566;56318657900;57224968076;57224978753;","Dynamic pricing of ancillaries using machine learning: one step closer to full offer optimization",2021,"Journal of Revenue and Pricing Management","20","6",,"646","653",,1,"10.1057/s41272-021-00347-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108843804&doi=10.1057%2fs41272-021-00347-6&partnerID=40&md5=897f6f071e2d79cd1493e412742e2f6a","RM Solutions & Innovations, Etihad Airways, Abu Dhabi, United Arab Emirates","Kummara, M.S.R., RM Solutions & Innovations, Etihad Airways, Abu Dhabi, United Arab Emirates; Guntreddy, B.R., RM Solutions & Innovations, Etihad Airways, Abu Dhabi, United Arab Emirates; Vega, I.G., RM Solutions & Innovations, Etihad Airways, Abu Dhabi, United Arab Emirates; Tai, Y.H., RM Solutions & Innovations, Etihad Airways, Abu Dhabi, United Arab Emirates","Today airlines’ ancillary pricing decision-making is mostly manual, where prices are generally determined by analysts through competitor benchmarking and historical data analysis. After manual computation, ancillary prices are filed in ATPCO (Airline Tariff Publishing Company) or Merchandising systems and these prices can be further tailored to the characteristics of the ancillary request through merchandising rules. Using airline ancillary and itinerary data, we built a gradient boosting machine algorithm that can understand the intricate relations between numerous attributes such as passenger type, itinerary, aircraft type, ancillary product, or season and can make an automated pricing decision based on science. The analysts are relieved from manual work and have the flexibility to change the machine learning (ML) algorithm’s input and output to suit business strategies. The ML algorithm learns the new trends and patterns as part of its training, and analysts can track its performance periodically. The output of the ML algorithm seamlessly integrates with merchandising platforms to implement the dynamic pricing of ancillaries and offers in the direct, indirect, and channels with new distribution capability. The ML algorithm is extendable to airline and third-party ancillary products and ticket bundles. It can suggest an optimal mix of products and price points that have the highest propensity to purchase for a given customer and travel itinerary. © 2021, The Author(s), under exclusive licence to Springer Nature Limited.","Customer segmentation; Dynamic pricing; New distribution capability (NDC); Offer optimization; Personalization Offer management",,Article,"Final","",Scopus,2-s2.0-85108843804
